# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.25 1500 50 589.152 0.0327299
1 1500 550 741.221 0.231587
0.707107 1500 550 665.496 0.151213
0.5 1500 550 624.891 0.0576853
0.25 1500 550 592.751 0.0164535
1 1500 600 746.41 0.225354
0.707107 1500 600 668.463 0.0134696
0.5 1500 600 626.484 0.0413648
0.25 1500 600 593.221 0.00571217
1 1500 60 674.903 0.172745
0.707107 1500 60 632.053 0.0793363
0.5 1500 60 607.768 0.0464398
0.25 1500 60 588.43 0.0107447
1 1500 75 672.113 0.0582279
0.707107 1500 75 629.848 0.0818992
0.5 1500 75 606.697 0.0446093
0.25 1500 75 588.112 0.0129477
1 1625 100 715.558 0.089404
0.707107 1625 100 675.271 0.042888
0.5 1625 100 653.42 0.0175744
0.25 1625 100 636.204 0.0171919
1 1625 250 739.212 0.00945147
0.707107 1625 250 687.149 0.0558244
0.5 1625 250 659.489 0.0364972
0.25 1625 250 637.752 0.0253606
1 1625 30 738.034 0.119278
0.707107 1625 30 688.914 0.0896381
0.5 1625 30 660.976 0.0688963
0.25 1625 30 638.206 0.0433114
1 1625 400 759.557 0.0828834
0.707107 1625 400 698.034 0.0587218
0.5 1625 400 665.111 0.0541049
0.25 1625 400 639.222 0.0129647
1 1625 40 736.156 0.072225
0.707107 1625 40 687.716 0.0517338
0.5 1625 40 660.378 0.0786771
0.25 1625 40 638.083 0.0311236
1 1625 50 730.188 0.362312
0.707107 1625 50 685.01 0.113553
0.5 1625 50 658.749 0.110407
0.25 1625 50 637.698 0.0141033
1 1625 600 781.673 0.242535
0.707107 1625 600 710.466 0.14577
0.5 1625 600 671.578 0.0584143
0.25 1625 600 640.971 0.0212481
1 1625 75 715.48 0.0788827
0.707107 1625 75 675.748 0.0786774
0.5 1625 75 653.755 0.0270985
0.25 1625 75 636.341 0.0143699
1 1750 100 759.893 0.113293
0.707107 1750 100 721.096 0.0566665
0.5 1750 100 700.566 nan
0.25 1750 100 684.181 0.00515878
1 1750 125 762.13 0.0332332
0.707107 1750 125 722.099 0.0305128
0.5 1750 125 700.88 0.0188157
0.25 1750 125 684.291 0.00446008
1 1750 150 765.967 0.0440739
0.707107 1750 150 724.061 0.0428337
0.5 1750 150 701.813 0.0161713
0.25 1750 150 684.518 0.00644795
1 1750 200 773.935 0.0694851
0.707107 1750 200 728.091 0.0563867
0.5 1750 200 703.867 0.0234398
0.25 1750 200 685.029 0.000474101
1 1750 250 781.251 0.0519791
0.707107 1750 250 731.851 0.056338
0.5 1750 250 705.768 0.0131662
0.25 1750 250 685.524 0.0101351
1 1750 300 787.898 0.0940581
0.707107 1750 300 735.332 0.0640865
0.5 1750 300 707.49 0.0552442
0.25 1750 300 685.972 0.00755638
1 1750 30 780.243 0.114712
0.707107 1750 30 733.474 0.0724526
0.5 1750 30 707.559 0.0665277
0.25 1750 30 685.968 0.010972
1 1750 400 800.413 0.0810592
0.707107 1750 400 741.915 0.00381094
0.5 1750 400 710.909 nan
0.25 1750 400 686.843 0.00619451
1 1750 40 778.6 0.110556
0.707107 1750 40 732.549 0.0718084
0.5 1750 40 706.634 0.0438357
0.25 1750 40 685.866 0.025882
1 1750 50 774.666 0.0884938
0.707107 1750 50 730.219 0.0701338
0.5 1750 50 705.559 0.0401652
0.25 1750 50 685.567 0.00904808
1 1750 600 820.302 0.153094
0.707107 1750 600 753.072 0.110237
0.5 1750 600 716.977 0.0109877
0.25 1750 600 688.383 nan
1 1750 75 760.524 0.206287
0.707107 1750 75 722.17 0.0783508
0.5 1750 75 701.17 0.0880393
0.25 1750 75 684.42 0.0242821
1 1875 100 804.342 0.110882
0.707107 1875 100 767.548 0.0818108
0.5 1875 100 747.858 0.0571424
0.25 1875 100 732.393 0.0103467
1 1875 250 823.563 0.041162
0.707107 1875 250 777.013 0.0305786
0.5 1875 250 752.481 0.0197627
0.25 1875 250 733.537 0.00415885
1 1875 400 841.381 0.0982762
0.707107 1875 400 786.282 0.0499542
0.5 1875 400 757.276 0.0231636
0.25 1875 400 734.746 0.00762543
1 1875 40 819.832 0.0704528
0.707107 1875 40 776.831 0.0620585
0.5 1875 40 752.803 0.0395089
0.25 1875 40 733.684 0.0144238
1 1875 50 817.706 0.0837649
0.707107 1875 50 775.425 0.0340563
0.5 1875 50 752.237 0.0238446
0.25 1875 50 733.55 0.01206
1 1875 600 858.119 0.419779
0.707107 1875 600 796.189 0.170641
0.5 1875 600 762.588 0.0775591
0.25 1875 600 736.078 0.0207479
1 1875 75 806.351 0.137984
0.707107 1875 75 769.236 0.131557
0.5 1875 75 748.823 0.0697658
0.25 1875 75 732.686 0.0345252
1 2000 100 849.876 0.108557
0.707107 2000 100 814.426 0.0805608
0.5 2000 100 795.414 nan
0.25 2000 100 780.614 0.0151665
1 2000 125 850.886 0.0728175
0.707107 2000 125 814.632 0.0404608
0.5 2000 125 795.524 0.0218801
0.25 2000 125 780.628 0.00310128
1 2000 150 853.735 0.0424842
0.707107 2000 150 816.029 0.0425187
0.5 2000 150 796.209 0.0369379
0.25 2000 150 780.786 nan
1 2000 175 857.087 0.0455371
0.707107 2000 175 817.657 0.0373506
0.5 2000 175 796.929 0.0111158
0.25 2000 175 781.002 0.00379304
1 2000 200 860.399 0.0317535
0.707107 2000 200 819.322 0.00840532
0.5 2000 200 797.796 0.0128087
0.25 2000 200 781.197 0.0100283
1 2000 225 863.535 0.0671996
0.707107 2000 225 820.914 0.0598653
0.5 2000 225 798.66 0.0125338
0.25 2000 225 781.401 nan
1 2000 250 866.472 nan
0.707107 2000 250 822.472 nan
0.5 2000 250 799.391 0.0176039
0.25 2000 250 781.603 0.00328539
1 2000 300 872.091 0.0717874
0.707107 2000 300 825.352 nan
0.5 2000 300 800.854 0.01941
0.25 2000 300 781.981 nan
1 2000 30 865.922 0.0722821
0.707107 2000 30 823.474 0.0869768
0.5 2000 30 800.282 0.0416357
0.25 2000 30 781.923 0.0107032
1 2000 350 877.671 0.0441565
0.707107 2000 350 828.219 0.047149
0.5 2000 350 802.348 0.0181776
0.25 2000 350 782.341 nan
1 2000 400 882.645 0.130171
0.707107 2000 400 830.956 nan
0.5 2000 400 803.75 0.0229049
0.25 2000 400 782.716 0.00411234
1 2000 40 863.045 0.0588729
0.707107 2000 40 822.014 0.109566
0.5 2000 40 799.547 0.0320963
0.25 2000 40 781.713 0.0125925
1 2000 450 887.336 0.0776669
0.707107 2000 450 833.593 0.0745955
0.5 2000 450 805.149 0.03209
0.25 2000 450 783.054 0.00539739
1 2000 500 892.06 0.15543
0.707107 2000 500 836.133 0.13513
0.5 2000 500 806.291 0.0392366
0.25 2000 500 0 nan
1 2000 50 861.276 0.0738098
0.707107 2000 50 821.097 0.0441049
0.5 2000 50 799.131 0.011164
0.25 2000 50 781.576 0.0122145
1 2000 550 894.51 0.452246
0.707107 2000 550 837.378 0.29206
0.5 2000 550 807.551 0.0593788
0.25 2000 550 783.675 0.0169765
1 2000 600 882.661 0.16702
0.707107 2000 600 838.559 0.22224
0.5 2000 600 807.319 0.359543
0.25 2000 600 783.856 0.0867571
1 2000 60 858.656 0.0212942
0.707107 2000 60 819.743 0.0411891
0.5 2000 60 798.337 0.0224217
0.25 2000 60 781.408 0.00500333
1 2000 75 855.708 0.27734
0.707107 2000 75 817.884 0.241797
0.5 2000 75 797.463 0.0904241
0.25 2000 75 781.178 0.0149451
1 2125 100 895.468 0.105075
0.707107 2125 100 861.862 0.123037
0.5 2125 100 843.526 0.104777
0.25 2125 100 829.033 0.0375583
1 2125 250 909.63 0.0351125
0.707107 2125 250 868.23 0.0402389
0.5 2125 250 846.519 0.0228961
0.25 2125 250 829.765 0.0182877
1 2125 400 924.367 nan
0.707107 2125 400 875.836 0.0466165
0.5 2125 400 850.474 0.0401854
0.25 2125 400 830.822 0.0189734
1 2125 40 906.484 0.0492594
0.707107 2125 40 867.747 0.0854811
0.5 2125 40 846.595 0.0088686
0.25 2125 40 829.843 0.0234842
1 2125 50 904.888 0.0565772
0.707107 2125 50 866.853 0.0625082
0.5 2125 50 846.075 0.0352774
0.25 2125 50 829.682 0.0114652
1 2125 600 924.459 0.1311
0.707107 2125 600 877.36 0.336808
0.5 2125 600 851.187 0.0669917
0.25 2125 600 0 nan
1 2125 75 900.469 0.0344
0.707107 2125 75 864.458 0.0525752
0.5 2125 75 844.785 0.024247
0.25 2125 75 829.347 0.00841592
1 2250 100 943.911 0.0653037
0.707107 2250 100 909.779 0.106723
0.5 2250 100 891.599 0.0715903
0.25 2250 100 877.385 0.0279083
1 2250 125 941.997 0.0573004
0.707107 2250 125 908.579 0.0660201
0.5 2250 125 890.823 0.0512125
0.25 2250 125 877.171 0.0127601
1 2250 150 943.539 0.0324904
0.707107 2250 150 909.177 0.0305789
0.5 2250 150 891.202 0.0202129
0.25 2250 150 877.265 0.00686991
1 2250 200 948.775 0.0599
0.707107 2250 200 911.713 0.022105
0.5 2250 200 892.425 0.0120718
0.25 2250 200 877.541 nan
1 2250 250 953.698 0.036242
0.707107 2250 250 914.234 0.0245229
0.5 2250 250 893.684 0.0112176
0.25 2250 250 877.872 0.00972754
1 2250 300 958.365 0.0629675
0.707107 2250 300 916.627 0.0324549
0.5 2250 300 894.871 0.0194112
0.25 2250 300 878.158 0.0117436
1 2250 400 965.958 0.145586
