# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.5 2125 70 844.915 0.0218861
0.25 2125 70 829.39 0.0104312
1 2125 85 899.714 0.0386936
0.707107 2125 85 863.947 0.0392647
0.5 2125 85 844.554 0.0122076
0.25 2125 85 829.295 0.0109616
1 2250 20 955.731 0.109457
0.707107 2250 20 916.286 0.0652342
0.5 2250 20 894.961 0.0348584
0.25 2250 20 878.236 0.0103523
1 2250 30 953.379 0.0697377
0.707107 2250 30 915.036 0.0646035
0.5 2250 30 894.345 0.0305171
0.25 2250 30 878.072 0.00704363
1 2250 40 950.828 0.0693138
0.707107 2250 40 913.741 0.0484994
0.5 2250 40 893.689 0.0271915
0.25 2250 40 877.931 0.0105105
1 2250 50 948.615 0.0659272
0.707107 2250 50 912.633 0.0453155
0.5 2250 50 893.091 0.0202085
0.25 2250 50 877.754 0.0159452
1 2250 70 945.549 0.0542675
0.707107 2250 70 910.916 0.0443387
0.5 2250 70 892.229 0.0191022
0.25 2250 70 877.534 0.00720365
1 2250 85 944.545 0.0571712
0.707107 2250 85 910.31 0.0352163
0.5 2250 85 891.897 0.0226872
0.25 2250 85 877.457 0.00555837
1 2375 100 989.777 0.207969
0.707107 2375 100 957.249 0.0255153
0.5 2375 100 939.574 0.0165431
0.25 2375 100 925.726 0.0104378
1 2375 40 995.099 0.0778705
0.707107 2375 40 959.892 0.047558
0.5 2375 40 940.915 0.0255855
0.25 2375 40 926.063 0.0131961
1 2375 50 993.066 0.0391937
0.707107 2375 50 958.802 0.0341729
0.5 2375 50 940.384 0.021818
0.25 2375 50 925.936 0.0104436
1 2375 70 990.352 0.0507695
0.707107 2375 70 957.259 0.0393813
0.5 2375 70 939.597 0.0185996
0.25 2375 70 925.727 nan
1 2375 85 989.285 0.0684436
0.707107 2375 85 956.659 0.0387383
0.5 2375 85 939.25 0.0225092
0.25 2375 85 925.656 0.00788684
1 2500 100 1034.13 0.0406543
0.707107 2500 100 1003.09 0.0322461
0.5 2500 100 986.675 0.017068
0.25 2500 100 973.837 0.00943834
1 2500 125 1034.37 0.0517238
0.707107 2500 125 1003.2 0.0265942
0.5 2500 125 986.711 0.0131869
0.25 2500 125 973.823 0.00497603
1 2500 20 1044.1 0.0822763
0.707107 2500 20 1008.36 0.0497175
0.5 2500 20 989.297 0.0256533
0.25 2500 20 974.508 0.0115591
1 2500 30 1042.13 0.0611682
0.707107 2500 30 1007.41 0.0376885
0.5 2500 30 988.872 0.0244404
0.25 2500 30 974.376 0.0074581
1 2500 40 1040.06 0.0764956
0.707107 2500 40 1006.23 0.0402572
0.5 2500 40 988.288 0.0212561
0.25 2500 40 974.257 0.0105608
1 2500 50 1038.16 0.0642996
0.707107 2500 50 1005.35 0.0395535
0.5 2500 50 987.781 0.0248348
0.25 2500 50 974.113 0.00964221
1 2500 60 1036.65 0.0532201
0.707107 2500 60 1004.54 0.0242161
0.5 2500 60 987.418 0.0189179
0.25 2500 60 974.027 0.0106405
1 2500 70 1035.45 0.0643717
0.707107 2500 70 1003.94 0.0483163
0.5 2500 70 987.097 0.0232244
0.25 2500 70 973.933 0.00584563
1 2500 85 1034.55 0.0571469
0.707107 2500 85 1003.4 0.0402263
0.5 2500 85 986.782 0.0228815
0.25 2500 85 973.861 0.0111401
1 2625 100 1079.55 0.0562443
0.707107 2625 100 1049.94 0.0241914
0.5 2625 100 1034.28 0.0206017
0.25 2625 100 1022.07 0.00875921
1 2625 125 1080.89 0.0443085
0.707107 2625 125 1050.54 0.0456613
0.5 2625 125 1034.58 0.0173244
0.25 2625 125 1022.14 0.00560983
1 2625 40 1085.09 0.0475387
0.707107 2625 40 1052.77 0.0356227
0.5 2625 40 1035.78 0.0230837
0.25 2625 40 1022.46 0.00521493
1 2625 60 1081.89 0.0854458
0.707107 2625 60 1051.26 0.0313512
0.5 2625 60 1034.93 0.0234606
0.25 2625 60 1022.23 0.00937864
1 2625 70 1080.88 0.0544734
0.707107 2625 70 1050.66 0.0306779
0.5 2625 70 1034.63 0.0195711
0.25 2625 70 1022.17 0.00618082
1 2625 85 1080.04 0.0406474
0.707107 2625 85 1050.16 0.0280785
0.5 2625 85 1034.38 0.0260109
0.25 2625 85 1022.09 0.00585004
1 2750 100 1125.2 0.0573124
0.707107 2750 100 1096.86 0.0313674
0.5 2750 100 1081.91 0.019942
0.25 2750 100 1070.32 0.00686062
1 2750 125 1125.42 0.0393662
0.707107 2750 125 1097.15 0.0761155
0.5 2750 125 1081.91 0.013887
0.25 2750 125 1070.33 0.00401925
1 2750 30 1131.93 0.0624166
0.707107 2750 30 1100.45 0.0381004
0.5 2750 30 1083.74 0.021051
0.25 2750 30 1070.79 0.0109339
1 2750 50 1128.54 0.0688806
0.707107 2750 50 1098.72 0.0409676
0.5 2750 50 1082.89 0.0167723
0.25 2750 50 1070.59 0.00678784
1 2750 60 1127.27 0.0682501
0.707107 2750 60 1097.96 0.0299642
0.5 2750 60 1082.55 0.0220137
0.25 2750 60 1070.5 0.0104117
1 2750 70 1126.34 0.0827373
0.707107 2750 70 1097.55 0.0349242
0.5 2750 70 1082.24 0.0217133
0.25 2750 70 1070.42 0.00893515
1 2750 85 1125.57 0.0593128
0.707107 2750 85 1097.04 0.0358984
0.5 2750 85 1082 0.0174817
0.25 2750 85 1070.37 0.0058661
1 2875 100 1171.53 0.113644
0.707107 2875 100 1143.9 0.0216625
0.5 2875 100 1129.64 0.0138051
0.25 2875 100 1118.68 0.00429854
1 2875 125 1171.11 0.0453919
0.707107 2875 125 1143.86 0.0271853
0.5 2875 125 1129.66 0.0114034
0.25 2875 125 1118.6 0.00583834
1 2875 85 1171.45 0.0556015
0.707107 2875 85 1144.06 0.0200258
0.5 2875 85 1129.73 0.0204415
