# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
1 1625 75 728.265 0.0866642
0.707107 1625 75 683.175 0.0446512
0.5 1625 75 657.919 0.0290339
0.25 1625 75 637.437 0.0245916
1 1750 100 768.234 0.087773
0.707107 1750 100 726.462 0.0228099
0.5 1750 100 703.492 0.0214628
0.25 1750 100 685.028 0.00724152
1 1750 125 767.247 0.0697901
0.707107 1750 125 725.733 0.0518215
0.5 1750 125 703.089 0.0277935
0.25 1750 125 684.892 0.0124605
1 1750 150 767.21 0.0789917
0.707107 1750 150 725.657 0.0296261
0.5 1750 150 702.951 0.0257543
0.25 1750 150 684.82 0.0158592
1 1750 200 770.276 0.0587129
0.707107 1750 200 726.681 0.0426281
0.5 1750 200 703.281 0.0348779
0.25 1750 200 684.914 0.00596832
1 1750 250 775.222 0.0327674
0.707107 1750 250 729.067 0.023944
0.5 1750 250 704.459 0.0228421
0.25 1750 250 685.215 0.0131882
1 1750 300 780.876 0.0868174
0.707107 1750 300 731.965 0.0446558
0.5 1750 300 705.933 0.0226406
0.25 1750 300 685.576 0.0068084
1 1750 30 780.75 0.145298
0.707107 1750 30 733.577 0.0801087
0.5 1750 30 707.17 0.0303589
0.25 1750 30 686.01 0.0144348
1 1750 400 792.071 0.144753
0.707107 1750 400 737.994 nan
0.5 1750 400 709.083 0.0630393
0.25 1750 400 686.391 nan
1 1750 40 779.675 0.0722567
0.707107 1750 40 733.009 0.0590094
0.5 1750 40 706.893 0.0590176
0.25 1750 40 685.948 0.0148481
1 1750 50 776.152 0.0704761
0.707107 1750 50 730.917 nan
0.5 1750 50 705.933 0.0312141
0.25 1750 50 685.647 0.0171688
1 1750 600 807.676 0.441408
0.707107 1750 600 746.594 0.275961
0.5 1750 600 714.15 0.096383
0.25 1750 600 687.837 0.0336432
1 1750 75 770.86 0.014016
0.707107 1750 75 728.068 0.0378559
0.5 1750 75 704.363 0.0234613
0.25 1750 75 685.254 0.00745324
1 1875 100 811.603 0.0707754
0.707107 1875 100 772.059 0.0436758
0.5 1875 100 750.339 0.0142459
0.25 1875 100 733.068 0.00709018
1 1875 250 817.529 0.072964
0.707107 1875 250 774.273 0.0316595
0.5 1875 250 751.204 0.0246287
0.25 1875 250 733.238 0.00295229
1 1875 400 832.004 0.307461
0.707107 1875 400 781.858 0.15285
0.5 1875 400 755.193 0.0240837
0.25 1875 400 734.274 0.0107756
1 1875 40 819.945 0.0733484
0.707107 1875 40 776.776 0.0693841
0.5 1875 40 752.867 0.0373757
0.25 1875 40 733.747 0.00861447
1 1875 50 818.854 0.0575095
0.707107 1875 50 776.128 0.0479837
0.5 1875 50 752.517 0.0360488
0.25 1875 50 733.626 0.0101024
1 1875 600 845.763 0.301636
0.707107 1875 600 789.801 0.305028
0.5 1875 600 759.024 0.0765735
0.25 1875 600 735.377 0.0434194
1 1875 75 813.94 0.053821
0.707107 1875 75 773.381 0.0433933
0.5 1875 75 751.023 0.0311826
0.25 1875 75 733.242 0.0044517
1 2000 100 855.381 0.054739
0.707107 2000 100 817.762 0.0406518
0.5 2000 100 797.301 0.0248564
0.25 2000 100 781.152 0.0101356
1 2000 125 854.752 0.0580367
0.707107 2000 125 817.325 0.0320549
0.5 2000 125 796.993 0.0185469
0.25 2000 125 781.059 0.00621954
1 2000 150 854.835 0.0397749
0.707107 2000 150 817.283 0.0375973
0.5 2000 150 796.996 0.0125139
0.25 2000 150 781.039 0.00377961
1 2000 175 855.708 0.0380314
0.707107 2000 175 817.573 0.0418572
0.5 2000 175 797.141 0.0187595
0.25 2000 175 781.064 0.00563494
1 2000 200 856.966 0.0459514
0.707107 2000 200 818.117 0.0535956
0.5 2000 200 797.365 0.0234079
0.25 2000 200 781.125 0.00505863
