# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.707107 1875 40 777.871 0.0640562
0.5 1875 40 753.428 0.0350043
0.25 1875 40 733.866 0.0139565
1 1875 50 818.897 0.0813807
0.707107 1875 50 775.996 0.00797626
0.5 1875 50 752.545 0.0312977
0.25 1875 50 733.642 0.00965621
1 1875 600 844.782 0.622826
0.707107 1875 600 788.834 0.141655
0.5 1875 600 759.59 0.248647
0.25 1875 600 735.294 0.019518
1 1875 75 813.849 0.0588479
0.707107 1875 75 773.387 0.0467221
0.5 1875 75 751.052 0.0320058
0.25 1875 75 733.243 0.0016694
1 2000 100 855.408 0.0455995
0.707107 2000 100 817.781 0.0376126
0.5 2000 100 797.301 0.0243521
0.25 2000 100 781.138 0.0096545
1 2000 125 854.684 0.0479938
0.707107 2000 125 817.283 0.0378472
0.5 2000 125 797.053 0.0245942
0.25 2000 125 781.062 0.0061971
1 2000 150 855.048 0.0739932
0.707107 2000 150 816.487 0.147681
0.5 2000 150 796.522 0.0891948
0.25 2000 150 781.047 nan
1 2000 175 856.238 0.0595603
0.707107 2000 175 817.628 0.0380005
0.5 2000 175 796.851 0.0207499
0.25 2000 175 780.955 nan
1 2000 200 858.183 0.180722
0.707107 2000 200 818.241 0.0580289
0.5 2000 200 797.468 0.0259296
0.25 2000 200 781.114 0.0100975
1 2000 225 859.521 0.271967
0.707107 2000 225 819.395 0.0660908
0.5 2000 225 797.907 0.0355235
0.25 2000 225 781.233 0.011105
1 2000 250 861.538 0.171278
0.707107 2000 250 820.451 0.0665754
0.5 2000 250 798.404 0.0436706
0.25 2000 250 0 nan
1 2000 300 864.741 0.382439
0.707107 2000 300 821.915 0.164838
0.5 2000 300 799.36 0.0677772
0.25 2000 300 781.625 0.0131102
1 2000 30 866.152 0.128442
0.707107 2000 30 823.653 0.0735033
0.5 2000 30 800.373 0.0218028
0.25 2000 30 781.93 0.0126153
1 2000 350 867.536 0.278372
0.707107 2000 350 824.448 0.274268
0.5 2000 350 800.442 0.111583
0.25 2000 350 781.762 0.0260659
1 2000 400 870.899 0.451511
0.707107 2000 400 825.413 0.260082
0.5 2000 400 801.095 0.116972
0.25 2000 400 782.049 0.050982
1 2000 40 863.257 0.0965529
0.707107 2000 40 822.129 0.0586448
0.5 2000 40 800.172 0.0320265
0.25 2000 40 781.75 0.0145745
1 2000 450 874.584 0.225779
0.707107 2000 450 827.178 0.204807
0.5 2000 450 801.985 0.0855877
0.25 2000 450 782.276 0.0192812
1 2000 500 877.884 0.076433
0.707107 2000 500 829.353 0.195548
0.5 2000 500 803.575 0.159513
0.25 2000 500 782.536 0.0491916
1 2000 50 862.123 0.112914
0.707107 2000 50 821.549 0.0317428
0.5 2000 50 799.303 0.0317153
0.25 2000 50 781.636 0.00848391
1 2000 550 881.271 0.061187
0.707107 2000 550 830.983 0.0936604
0.5 2000 550 803.897 0.0654726
0.25 2000 550 782.775 0.0149198
1 2000 600 884.64 0.0863094
0.707107 2000 600 832.839 0.0948447
